Handle,Variant Price
1971-topps-364-tommy-dean,
1971-topps-150-sam-mcdowell,6
1971-topps-150-sam-mcdowell,
1969-o-pee-chee-203-dave-johnson,12
1969-o-pee-chee-203-dave-johnson,
1971-topps-384-rollie-fingers,18
1971-topps-384-rollie-fingers,
1971-topps-700-boog-powell-sp,75
1971-topps-700-boog-powell-sp,
1964-topps-33-rookie-stars-sammy-ellis-mel-queen,18
1964-topps-33-rookie-stars-sammy-ellis-mel-queen,
1971-topps-60-dick-bosman,4.5
1971-topps-60-dick-bosman,
1970-topps-540-gary-peters,6
1970-topps-540-gary-peters,
1971-topps-123b-checklist-2-card-number-centered,30
1971-topps-123b-checklist-2-card-number-centered,
1971-topps-81-felix-millan,4.5
1971-topps-81-felix-millan,
1971-topps-110-bill-mazeroski,18
1971-topps-110-bill-mazeroski,
1971-topps-112-manny-mota,6
1971-topps-112-manny-mota,
1971-topps-224-alan-gallagher-rc,4.5
1971-topps-224-alan-gallagher-rc,
1971-topps-339-wayne-simpson,4.5
1971-topps-339-wayne-simpson,
1971-topps-267-rich-morales,4.5
1971-topps-267-rich-morales,
1971-topps-262-rookie-stars-jim-williams-dave-robinson-rc,4.5
1971-topps-262-rookie-stars-jim-williams-dave-robinson-rc,
1971-topps-295-bobby-bonds,12
1971-topps-295-bobby-bonds,
1971-topps-380-ted-williams-mg,36
1971-topps-380-ted-williams-mg,
1971-topps-260-tommy-harper,6
1971-topps-260-tommy-harper,
1971-topps-306-jim-nash,4.5
1971-topps-306-jim-nash,
1970-topps-245-leo-cardenas,3
1970-topps-245-leo-cardenas,
1971-72-o-pee-chee-156-rogatien-vachon,30
1971-72-o-pee-chee-156-rogatien-vachon,
1972-73-o-pee-chee-111-phil-esposito,45
1972-73-o-pee-chee-111-phil-esposito,
1972-73-o-pee-chee-112-gilles-meloche-rc,24
1972-73-o-pee-chee-112-gilles-meloche-rc,
1972-73-o-pee-chee-116-jim-lorentz,9
1972-73-o-pee-chee-116-jim-lorentz,
1972-73-o-pee-chee-119-gerry-desjardins-dp,4.5
1972-73-o-pee-chee-119-gerry-desjardins-dp,
1972-73-o-pee-chee-122-bill-plager-rc,12
1972-73-o-pee-chee-122-bill-plager-rc,
1972-73-o-pee-chee-123-red-berenson-dp,4.5
1972-73-o-pee-chee-123-red-berenson-dp,
1972-73-o-pee-chee-124-peter-mahovlich-dp,9
1972-73-o-pee-chee-124-peter-mahovlich-dp,
1972-73-o-pee-chee-125-simon-nolet,9
1972-73-o-pee-chee-125-simon-nolet,
1972-73-o-pee-chee-126-paul-henderson,9
1972-73-o-pee-chee-126-paul-henderson,
1972-73-o-pee-chee-132-gilles-villemure,9
1972-73-o-pee-chee-132-gilles-villemure,
1972-73-o-pee-chee-136-gilbert-perreault-dp,36
1972-73-o-pee-chee-136-gilbert-perreault-dp,
1972-73-o-pee-chee-137-tony-esposito-dp,60
1972-73-o-pee-chee-137-tony-esposito-dp,
1972-73-o-pee-chee-144-arnie-brown,9
1972-73-o-pee-chee-144-arnie-brown,
1972-73-o-pee-chee-145-ken-dryden-dp,120
1972-73-o-pee-chee-145-ken-dryden-dp,
1972-73-o-pee-chee-147-norm-ullman,15
1972-73-o-pee-chee-147-norm-ullman,
1972-73-o-pee-chee-151-dick-redmond-dp,4.5
1972-73-o-pee-chee-151-dick-redmond-dp,
1972-73-o-pee-chee-153-rod-gilbert,15
1972-73-o-pee-chee-153-rod-gilbert,
1972-73-o-pee-chee-154-duane-rupp,9
1972-73-o-pee-chee-154-duane-rupp,
1972-73-o-pee-chee-157-richard-martin-dp,15
1972-73-o-pee-chee-157-richard-martin-dp,
1972-73-o-pee-chee-159-bill-goldsworthy-dp,4.5
1972-73-o-pee-chee-159-bill-goldsworthy-dp,
1972-73-o-pee-chee-160-jack-lynch-rc,9
1972-73-o-pee-chee-160-jack-lynch-rc,
1972-73-o-pee-chee-161-bob-plager-dp,4.5
1972-73-o-pee-chee-161-bob-plager-dp,
1972-73-o-pee-chee-163-noel-price,9
1972-73-o-pee-chee-163-noel-price,
1972-73-o-pee-chee-164-gary-bergman-dp,4.5
1972-73-o-pee-chee-164-gary-bergman-dp,
1972-73-o-pee-chee-166-ross-lonsberry,9
1972-73-o-pee-chee-166-ross-lonsberry,
1972-73-o-pee-chee-167-denis-dupere,9
1972-73-o-pee-chee-167-denis-dupere,
1972-73-o-pee-chee-170-don-awrey-dp,4.5
1972-73-o-pee-chee-170-don-awrey-dp,
1972-73-o-pee-chee-171-marshall-johnston-dp-rc,4.5
1972-73-o-pee-chee-171-marshall-johnston-dp-rc,
1972-73-o-pee-chee-173-ed-giacomin,15
1972-73-o-pee-chee-173-ed-giacomin,
1972-73-o-pee-chee-177-stan-mikita-dp,24
1972-73-o-pee-chee-177-stan-mikita-dp,
1972-73-o-pee-chee-178-charlie-burns,9
1972-73-o-pee-chee-178-charlie-burns,
1972-73-o-pee-chee-179-brian-marchinko,9
1972-73-o-pee-chee-179-brian-marchinko,
1972-73-o-pee-chee-181-bobby-schmautz-rc,12
1972-73-o-pee-chee-181-bobby-schmautz-rc,
1972-73-o-pee-chee-183-pat-quinn,9
1972-73-o-pee-chee-183-pat-quinn,
1972-73-o-pee-chee-185-serge-savard,15
1972-73-o-pee-chee-185-serge-savard,
1972-73-o-pee-chee-187-bill-flett,9
1972-73-o-pee-chee-187-bill-flett,
1972-73-o-pee-chee-191-garnet-bailey-dp,4.5
1972-73-o-pee-chee-191-garnet-bailey-dp,
1972-73-o-pee-chee-192-walt-mckechnie,9
1972-73-o-pee-chee-192-walt-mckechnie,
1972-73-o-pee-chee-193-harry-howell,9
1972-73-o-pee-chee-193-harry-howell,
1972-73-o-pee-chee-194-rod-seiling,9
1972-73-o-pee-chee-194-rod-seiling,
1972-73-o-pee-chee-198-chico-maki-dp,4.5
1972-73-o-pee-chee-198-chico-maki-dp,
1972-73-o-pee-chee-199-jean-paul-parise,9
1972-73-o-pee-chee-199-jean-paul-parise,
1972-73-o-pee-chee-200-germaine-gagnon-uer-rc,9
1972-73-o-pee-chee-200-germaine-gagnon-uer-rc,
1972-73-o-pee-chee-201-danny-oshea,9
1972-73-o-pee-chee-201-danny-oshea,
1972-73-o-pee-chee-203-dan-bouchard-rc,30
1972-73-o-pee-chee-203-dan-bouchard-rc,
1972-73-o-pee-chee-204-leon-rochefort,9
1972-73-o-pee-chee-204-leon-rochefort,
1972-73-o-pee-chee-205-jacques-laperriere,12
1972-73-o-pee-chee-205-jacques-laperriere,
1972-73-o-pee-chee-206-barry-ashbee,9
1972-73-o-pee-chee-206-barry-ashbee,
1972-73-o-pee-chee-207-garry-monahan,9
1972-73-o-pee-chee-207-garry-monahan,
1972-73-o-pee-chee-210-rejean-houle,15
1972-73-o-pee-chee-210-rejean-houle,
1972-73-o-pee-chee-212-ted-irvine,12
1972-73-o-pee-chee-212-ted-irvine,
1972-73-o-pee-chee-217-bobby-lalonde-rc,12
1972-73-o-pee-chee-217-bobby-lalonde-rc,
1972-73-o-pee-chee-221-craig-patrick,12
1972-73-o-pee-chee-221-craig-patrick,
1972-73-o-pee-chee-222-cliff-koroll,12
1972-73-o-pee-chee-222-cliff-koroll,
1972-73-o-pee-chee-237-pierre-jarry-rc,12
1972-73-o-pee-chee-237-pierre-jarry-rc,
1972-73-o-pee-chee-238-don-tannahill-rc,12
1972-73-o-pee-chee-238-don-tannahill-rc,
1972-73-o-pee-chee-249-pat-stapleton-as2,12
1972-73-o-pee-chee-249-pat-stapleton-as2,
1972-73-o-pee-chee-251-henri-richard,18
1972-73-o-pee-chee-251-henri-richard,
